"Model","Threshold","Accuracy","Sensitivity","Specificity","Precision","F1"
NA,NA,NA,NA,NA,NA,NA
"Logistic","0.507885923387742","0.605","0.556","0.656","0.625","0.589"
"SVM","0.425261560582205","0.605","0.459","0.756","0.660","0.541"
"GBM","0.507985210344701","0.757","0.785","0.728","0.749","0.767"
"NeuralNetwork","0.570713212642144","0.602","0.364","0.847","0.711","0.482"
"Xgboost","0.499985367059708","0.602","0.545","0.660","0.623","0.582"
"Adaboost","0.206736505520168","0.589","0.718","0.457","0.577","0.640"
"LightGBM","0.51107390103451","0.731","0.776","0.685","0.718","0.746"
"CatBoost","0.624819153851195","0.604","0.451","0.762","0.661","0.536"
